Year,District,Fertilizer CONSUMPTION (tons)
1994,Gwalior,13440
1995,Gwalior,13440
1996,Gwalior,13440
1997,Gwalior,25967
1998,Gwalior,23211
1999,Gwalior,25485
2000,Gwalior,20547
2001,Gwalior,24015
2002,Gwalior,15096
2003,Gwalior,24162
2004,Gwalior,25676
2005,Gwalior,26077
2006,Gwalior,29355
2007,Gwalior,27782
2008,Gwalior,44890
2009,Gwalior,48331
2010,Gwalior,48339
2011,Gwalior,51414
2012,Gwalior,52659
2013,Gwalior,47666
2014,Gwalior,45147
2015,Gwalior,38241
2016,Gwalior,41006
2017,Gwalior,40113
1966,Shivpuri,87
1967,Shivpuri,91
1968,Shivpuri,242
1969,Shivpuri,320
1970,Shivpuri,487
1971,Shivpuri,819
1972,Shivpuri,1345
1973,Shivpuri,1208
1974,Shivpuri,880
1975,Shivpuri,1161
1976,Shivpuri,1851
1977,Shivpuri,1843
1978,Shivpuri,2817
1979,Shivpuri,1647
1980,Shivpuri,2728
1981,Shivpuri,2530
1982,Shivpuri,2714
1983,Shivpuri,3090
1984,Shivpuri,2704
1985,Shivpuri,4190
1986,Shivpuri,4159
1987,Shivpuri,4548
